,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,STRZUSTAND,lon,lat,address,City,District,Street,HouseNumber,PostalCode
0,112747,11,0,3,3,2018,1,15,4,3,6,7,1,1,0,1,0,0,0,1,13.403227969440675,52.583471535605504,"{'City': 'Berlin', 'District': 'Niederschönhausen', 'Street': 'Dietzgenstraße', 'HouseNumber': '36A', 'PostalCode': '13156'}",Berlin,Niederschönhausen,Dietzgenstraße,36A,13156
1,112892,11,0,3,3,2018,1,11,5,3,5,2,0,1,1,0,0,0,0,1,13.432186282183157,52.535255261250875,"{'City': 'Berlin', 'District': 'Prenzlauer Berg', 'Street': 'Greifswalder Straße', 'HouseNumber': '45', 'PostalCode': '10405'}",Berlin,Prenzlauer Berg,Greifswalder Straße,45,10405
2,112902,11,0,2,2,2018,1,8,2,3,5,2,0,1,1,0,0,0,0,0,13.47089658738229,52.514173124637104,"{'City': 'Berlin', 'District': 'Friedrichshain', 'Street': 'Frankfurter Allee', 'HouseNumber': '87', 'PostalCode': '10247'}",Berlin,Friedrichshain,Frankfurter Allee,87,10247
3,112921,11,0,1,1,2018,1,19,4,3,5,7,2,1,1,0,0,0,0,1,13.39467344912885,52.510848452164254,"{'City': 'Berlin', 'District': 'Mitte', 'Street': 'Leipziger Straße', 'HouseNumber': '', 'PostalCode': '10117'}",Berlin,Mitte,Leipziger Straße,,10117
4,112947,11,0,9,9,2018,1,18,4,2,5,3,2,1,1,0,0,0,0,1,13.506372166134057,52.458992961679954,"{'City': 'Berlin', 'District': 'Niederschöneweide', 'Street': 'Schnellerstraße', 'HouseNumber': '', 'PostalCode': '12439'}",Berlin,Niederschöneweide,Schnellerstraße,,12439
5,112992,11,0,2,2,2018,1,11,7,3,6,4,0,1,0,1,0,0,0,0,13.448554440855105,52.504955329689665,"{'City': 'Berlin', 'District': 'Friedrichshain', 'Street': 'Warschauer Straße', 'HouseNumber': '34', 'PostalCode': '10243'}",Berlin,Friedrichshain,Warschauer Straße,34,10243
6,113009,11,0,1,1,2018,1,8,3,3,5,3,0,1,1,0,0,0,0,1,13.373030297408992,52.51591280231045,"{'City': 'Berlin', 'District': 'Tiergarten', 'Street': 'Straße des 17. Juni', 'HouseNumber': '', 'PostalCode': '10785'}",Berlin,Tiergarten,Straße des 17. Juni,,10785
7,113235,11,0,1,1,2018,1,12,2,3,5,3,0,1,0,0,0,0,1,0,13.41769328202078,52.523445715565614,"{'City': 'Berlin', 'District': 'Mitte', 'Street': 'Otto-Braun-Straße', 'HouseNumber': '', 'PostalCode': '10178'}",Berlin,Mitte,Otto-Braun-Straße,,10178
8,113267,11,0,3,3,2018,1,8,2,3,6,4,0,1,0,1,0,0,0,0,13.433537462368651,52.536115923506884,"{'City': 'Berlin', 'District': 'Prenzlauer Berg', 'Street': 'Danziger Straße', 'HouseNumber': '119', 'PostalCode': '10407'}",Berlin,Prenzlauer Berg,Danziger Straße,119,10407
9,113277,11,0,2,2,2018,1,8,5,3,5,3,0,1,1,0,0,0,0,1,13.453670058579055,52.518830862795426,"{'City': 'Berlin', 'District': 'Friedrichshain', 'Street': '', 'HouseNumber': '', 'PostalCode': '10249'}",Berlin,Friedrichshain,,,10249
10,113314,11,0,2,2,2018,1,8,5,2,5,3,0,1,1,0,0,0,0,1,13.436527470777667,52.51764210481606,"{'City': 'Berlin', 'District': 'Friedrichshain', 'Street': 'Karl-Marx-Allee', 'HouseNumber': '', 'PostalCode': '10243'}",Berlin,Friedrichshain,Karl-Marx-Allee,,10243
11,113324,11,0,7,7,2018,1,6,3,1,5,2,2,1,0,0,0,1,0,1,13.357186281683301,52.486900051899255,"{'City': 'Berlin', 'District': 'Schöneberg', 'Street': 'Hauptstraße', 'HouseNumber': '', 'PostalCode': '10827'}",Berlin,Schöneberg,Hauptstraße,,10827
