,Title,Year,Worldwide,Domestic
0,Mission: Impossible II,2000,546388105,215409889
1,Gladiator,2000,460583960,187705427
2,Cast Away,2000,429632142,233632142
3,What Women Want,2000,374111707,182811707
4,Dinosaur,2000,349822765,137748063
5,How the Grinch Stole Christmas,2000,345141403,260044825
6,Meet the Parents,2000,330444045,166244045
7,The Perfect Storm,2000,328718434,182618434
8,X-Men,2000,296339528,157299718
9,What Lies Beneath,2000,291420351,155464351
10,Scary Movie,2000,278019771,157019771
11,Charlie's Angels,2000,264105545,125305545
12,Erin Brockovich,2000,256271286,125595205
13,Unbreakable,2000,248118121,95011339
14,Gone in 60 Seconds,2000,237202299,101648571
15,Chicken Run,2000,224834564,106834564
16,Vertical Limit,2000,215663859,69243859
17,The Patriot,2000,215294342,113330342
18,"Crouching Tiger, Hidden Dragon",2000,213525736,128078872
19,Miss Congeniality,2000,212742720,106807667
20,Traffic,2000,207515725,124115725
21,Hollow Man,2000,190213455,73209340
22,102 Dalmatians,2000,183611771,66957026
23,Big Momma's House,2000,173959438,117559438
24,The Emperor's New Groove,2000,169327687,89302687
25,Nutty Professor II: The Klumps,2000,166339890,123309890
26,Scream 3,2000,161834276,89143175
27,Chocolat,2000,152699946,71509363
28,"Me, Myself & Irene",2000,149270999,90570999
29,The Beach,2000,144056873,39785027
30,Remember the Titans,2000,136706683,115654751
31,Pokémon the Movie 2000,2000,133949270,43758684
32,Space Cowboys,2000,128884132,90464773
33,U-571,2000,127666415,77122415
34,The Family Man,2000,124745083,75793305
35,Road Trip,2000,119754278,68540777
36,Coyote Ugly,2000,113916474,60786269
37,Final Destination,2000,112880294,53331147
38,The Exorcist 2000 Director's Cut,2000,112053066,39671011
39,Mission to Mars,2000,110983407,60883407
40,The Kid,2000,110317580,69691949
41,Billy Elliot,2000,109280263,21995263
42,Shaft,2000,107196498,70334258
43,The Whole Nine Yards,2000,106371651,57262492
44,The Cell,2000,104155843,61334059
45,Rugrats in Paris: The Movie,2000,103291131,76507756
46,Shanghai Noon,2000,99274467,56937502
47,The Tigger Movie,2000,96159800,45554533
48,The 6th Day,2000,96085477,34604280
49,Romeo Must Die,2000,91036760,55973336
50,Fantasia 2000,2000,90874570,60655420
51,Autumn in New York,2000,90726668,37761915
52,Bring It On,2000,90449929,68379000
53,Bedazzled,2000,90383208,37886980
54,Snatch,2000,83557872,30328156
55,Men of Honor,2000,82343495,48818921
56,Finding Forrester,2000,80049764,51804714
57,The Road to El Dorado,2000,76432727,50863742
58,"Dude, Where's My Car?",2000,73180723,46729800
59,"O Brother, Where Art Thou?",2000,71868327,45512588
60,Rules of Engagement,2000,71732303,61335230
61,Frequency,2000,68106245,45010278
62,Thirteen Days,2000,66579890,34592089
63,Proof of Life,2000,62761005,32598931
64,Snow Day,2000,62464731,60020107
65,28 Days,2000,62198945,37170488
66,Taxi 2,2000,60726164,626164
67,Keeping the Faith,2000,59945183,37047880
68,Next Friday,2000,59827328,57328603
69,The Flintstones in Viva Rock Vegas,2000,59468275,35268275
70,The Ninth Gate,2000,58401898,18661336
71,Little Nicky,2000,58292295,39464775
72,Pay It Forward,2000,55707411,33519628
73,Bounce,2000,53425292,36805288
74,Pitch Black,2000,53187659,39240659
75,Hanging Up,2000,51880044,36050230
76,The Skulls,2000,50802120,35046120
77,The Replacements,2000,50054511,44737059
78,Book of Shadows: Blair Witch 2,2000,47737094,26437094
79,Almost Famous,2000,47383689,32534850
80,The Watcher,2000,47267829,28946615
81,High Fidelity,2000,47126295,27287137
82,Dracula 2000,2000,47053625,33022767
83,The Gift,2000,44567606,12008642
84,Where the Heart Is,2000,40863718,33772838
85,Bless the Child,2000,40443010,29381494
86,The Art of War,2000,40400425,30208599
87,Dancer in the Dark,2000,40031879,4184036
88,The Legend of Bagger Vance,2000,39459427,30919168
89,Urban Legends: Final Cut,2000,38574362,21468807
90,The Original Kings of Comedy,2000,38182790,38182790
