,imdb_id,tmdb_rating,tmdb_votes,popularity
0,tt0035423,6.2,832,8.325
1,tt0113026,5.6,18,2.605
2,tt0116748,0.0,0,0.6
3,tt0118589,3.8,68,5.767
4,tt0118694,8.1,1012,13.292
5,tt0118926,7.0,29,4.278
6,tt0120117,5.0,1,0.875
7,tt0120202,6.5,102,5.941
8,tt0120630,6.6,2965,15.7
9,tt0120667,5.7,6327,19.051
10,tt0120679,7.5,1202,8.788
11,tt0120681,6.7,1653,10.453
12,tt0120737,8.3,16238,43.126
13,tt0120753,6.0,163,8.86
14,tt0120755,6.1,4009,22.347
15,tt0120804,6.5,3881,29.661
16,tt0120824,6.4,206,7.918
17,tt0120903,7.0,7645,1.536
18,tt0120912,6.3,6572,25.187
19,tt0120913,6.5,576,10.199
20,tt0120917,7.5,3948,17.894
21,tt0121164,7.4,5097,17.308
22,tt0121765,6.5,8341,25.667
23,tt0121766,7.3,8613,27.437
24,tt0122459,6.5,123,6.402
25,tt0125022,5.9,505,11.371
26,tt0126029,7.6,10014,32.926
27,tt0127349,6.8,42,5.738
28,tt0130623,6.4,1387,12.616
29,tt0131704,4.0,217,7.583
30,tt0132245,4.9,392,9.863
31,tt0133152,5.7,2459,15.734
32,tt0133240,7.4,2310,14.761
33,tt0134084,5.9,1688,11.38
34,tt0134630,5.9,78,8.344
35,tt0134847,6.8,2896,11.312
36,tt0134983,4.9,188,8.061
37,tt0138524,5.9,799,10.437
38,tt0138681,5.5,6,2.621
39,tt0138749,7.1,2252,15.983
40,tt0138946,6.2,212,9.396
41,tt0139654,7.4,3284,16.607
42,tt0141399,4.4,23,2.502
43,tt0141907,4.4,36,3.892
44,tt0141926,6.4,622,10.698
45,tt0144084,7.4,5139,21.104
46,tt0144142,4.9,23,4.317
47,tt0144528,4.9,798,11.926
48,tt0144608,4.8,12,3.015
49,tt0144964,4.6,204,12.13
50,tt0145487,7.1,11303,33.358
51,tt0145937,6.5,75,6.703
52,tt0146309,7.0,376,9.652
53,tt0146316,5.8,4177,19.234
54,tt0146882,7.2,1148,10.744
55,tt0146984,6.6,526,7.959
56,tt0148421,0.0,0,1.145
57,tt0149367,6.1,27,3.619
58,tt0149624,5.9,104,6.649
59,tt0151150,5.8,34,3.84
60,tt0153464,5.3,15,3.651
61,tt0156323,5.6,39,3.432
62,tt0156757,5.4,19,2.614
63,tt0156812,6.6,153,7.236
64,tt0156841,5.1,88,6.042
65,tt0157472,5.1,155,7.651
66,tt0158622,4.6,409,9.382
67,tt0159273,6.2,800,14.81
68,tt0159365,6.9,1050,10.585
69,tt0160009,5.8,268,8.239
70,tt0160127,5.7,2676,19.616
71,tt0160184,5.6,269,10.578
72,tt0160484,4.9,85,7.425
